period_label,Year,Week,t,avgwaiting_time,baseline_waiting_time_ma12,deviation,flag_percentile_p90,flag_iqr,flag_ma_deviation,flag_robust_zscore_mad,n_methods_flagged,disruption_flag,detection_method
2019-W01,2019.0,1.0,0,17.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W02,2019.0,2.0,1,8.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W03,2019.0,3.0,2,12.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W04,2019.0,4.0,3,5.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W05,2019.0,5.0,4,14.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W06,2019.0,6.0,5,10.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W07,2019.0,7.0,6,21.0,,,True,False,False,False,1,False,robust_zscore_mad
2019-W08,2019.0,8.0,7,10.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W09,2019.0,9.0,8,9.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W10,2019.0,10.0,9,9.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W11,2019.0,11.0,10,6.0,,,False,False,False,False,0,False,robust_zscore_mad
2019-W12,2019.0,12.0,11,6.0,11.0,-5.0,False,False,False,False,0,False,robust_zscore_mad
2019-W13,2019.0,13.0,12,7.0,10.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2019-W14,2019.0,14.0,13,7.0,10.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2019-W15,2019.0,15.0,14,7.0,9.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W16,2019.0,16.0,15,5.0,9.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2019-W17,2019.0,17.0,16,7.0,9.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W18,2019.0,18.0,17,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W19,2019.0,19.0,18,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W20,2019.0,20.0,19,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W21,2019.0,21.0,20,9.0,7.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W22,2019.0,22.0,21,15.0,7.0,8.0,False,False,True,False,1,False,robust_zscore_mad
2019-W23,2019.0,23.0,22,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W24,2019.0,24.0,23,5.0,8.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2019-W25,2019.0,25.0,24,6.0,7.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W26,2019.0,26.0,25,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W27,2019.0,27.0,26,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W28,2019.0,28.0,27,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W29,2019.0,29.0,28,7.0,8.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W30,2019.0,30.0,29,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W31,2019.0,31.0,30,6.0,7.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W32,2019.0,32.0,31,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W33,2019.0,33.0,32,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W34,2019.0,34.0,33,6.0,6.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W35,2019.0,35.0,34,6.0,6.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W36,2019.0,36.0,35,6.0,6.0,0.0,False,False,False,False,0,False,robust_zscore_mad
